ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
A00089,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Full-Time,Slack,Waterfall,AWS Certified,English,Healthcare
A00093,14,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Full-Time,Microsoft Teams,Agile,,English,Technology
A00094,9,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Short-Term,Microsoft Teams,Agile,AWS Certified,English,Education
A00096,4,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Short-Term,Slack,Agile,AWS Certified,English,Technology
A00101,8,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Short-Term,Zoom,Waterfall,PMP,English,Healthcare
A00103,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Part-Time,Slack,Waterfall,AWS Certified,Korean,Finance
A00105,7,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Cloud infrastructure,Short-Term,Zoom,Agile,,English,Healthcare
A00107,4,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Full-Time,Microsoft Teams,Waterfall,,English,Healthcare
A00108,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Mid-Term,Slack,Waterfall,,English,Healthcare
A00112,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,,Korean,Technology
A00115,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
A00117,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Short-Term,Microsoft Teams,Waterfall,,English,Education
A00123,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Short-Term,Zoom,Agile,,English,Healthcare
A00125,11,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Part-Time,Slack,Waterfall,,English,Finance
A00126,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Zoom,Agile,AWS Certified,English,Healthcare
A00129,4,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Freelancer,Zoom,Agile,,English,Finance
A00133,4,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Part-Time,Slack,Agile,,English,Education
A00134,11,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Cloud infrastructure,Mid-Term,Slack,Waterfall,PMP,English,Education
A00136,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Full-Time,Zoom,Waterfall,AWS Certified,English,Finance
A00137,7,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Zoom,Waterfall,AWS Certified,English,Education
A00138,5,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,English,Finance
A00139,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Healthcare
A00140,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Open Source Contribution,Part-Time,Slack,Waterfall,PMP,Korean,Education
A00141,11,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Long-Term,Zoom,Waterfall,,English,Technology
A00142,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,English,Finance
A00143,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Mid-Term,Slack,Agile,PMP,English,Education
A00145,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,E-commerce platform,Mid-Term,Zoom,Waterfall,,English,Healthcare
A00151,8,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,English,Finance
A00152,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Mid-Term,Slack,Waterfall,AWS Certified,English,Finance
A00153,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Mid-Term,Zoom,Waterfall,,English,Finance
A00154,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Full-Time,Slack,Agile,AWS Certified,English,Finance
A00155,5,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Long-Term,Slack,Agile,AWS Certified,English,Healthcare
A00159,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Education
A00161,14,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,E-commerce platform,Mid-Term,Zoom,Agile,,English,Finance
A00164,15,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Education
A00174,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Part-Time,Zoom,Agile,,English,Education
A00184,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Long-Term,Slack,Agile,PMP,English,Education
A00185,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
A00187,9,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Mobile app,Long-Term,Slack,Waterfall,,English,Healthcare
A00189,14,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Freelancer,Slack,Waterfall,AWS Certified,Korean,Healthcare
A00190,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Microsoft Teams,Agile,,English,Healthcare
A00192,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Long-Term,Slack,Agile,,English,Education
A00193,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Freelancer,Slack,Agile,PMP,Korean,Healthcare
A00197,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Company Project,Mid-Term,Zoom,Waterfall,AWS Certified,English,Finance
A00198,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,,English,Education
A00201,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,Korean,Healthcare
A00203,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Full-Time,Slack,Agile,AWS Certified,English,Finance
A00204,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Mid-Term,Slack,Waterfall,,English,Finance
A00209,10,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Freelancer,Slack,Agile,,English,Finance
A00210,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Full-Time,Microsoft Teams,Agile,PMP,English,Finance
A00215,15,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Long-Term,Zoom,Waterfall,PMP,English,Finance
A00216,3,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Freelancer,Zoom,Waterfall,AWS Certified,English,Healthcare
A00217,11,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Mobile app,Full-Time,Microsoft Teams,Waterfall,AWS Certified,Korean,Finance
A00218,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Long-Term,Slack,Waterfall,AWS Certified,English,Technology
A00219,4,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
A00221,6,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Open Source Contribution,Full-Time,Zoom,Agile,AWS Certified,Korean,Finance
A00222,5,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Agile,,English,Education
A00228,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Short-Term,Zoom,Waterfall,PMP,English,Healthcare
A00229,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,English,Finance
A00232,2,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Long-Term,Microsoft Teams,Agile,PMP,Korean,Healthcare
A00242,14,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Freelancer,Zoom,Agile,AWS Certified,English,Finance
A00245,2,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Short-Term,Slack,Waterfall,AWS Certified,English,Healthcare
A00250,2,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Company Project,Freelancer,Microsoft Teams,Waterfall,PMP,English,Healthcare
A00251,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Mid-Term,Microsoft Teams,Waterfall,,English,Education
A00252,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Technology
A00253,6,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Full-Time,Zoom,Agile,AWS Certified,English,Finance
A00254,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Full-Time,Microsoft Teams,Agile,PMP,English,Finance
A00256,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Company Project,Long-Term,Zoom,Waterfall,PMP,English,Healthcare
A00257,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Freelancer,Zoom,Waterfall,AWS Certified,English,Finance
A00260,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Short-Term,Slack,Agile,AWS Certified,English,Finance
A00266,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Microsoft Teams,Agile,AWS Certified,English,Finance
A00268,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Company Project,Mid-Term,Microsoft Teams,Agile,PMP,English,Technology
A00270,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Long-Term,Slack,Waterfall,AWS Certified,Korean,Finance
A00275,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Zoom,Agile,AWS Certified,English,Education
A00277,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Short-Term,Microsoft Teams,Agile,,English,Healthcare
A00279,5,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Long-Term,Zoom,Waterfall,AWS Certified,English,Education
A00280,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Full-Time,Zoom,Agile,AWS Certified,English,Finance
A00283,5,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Mobile app,Full-Time,Slack,Agile,PMP,English,Finance
A00287,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Part-Time,Zoom,Agile,AWS Certified,English,Technology
A00291,3,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Open Source Contribution,Long-Term,Zoom,Agile,,English,Finance
A00294,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Open Source Contribution,Mid-Term,Zoom,Agile,PMP,English,Healthcare
A00295,7,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Mobile app,Freelancer,Slack,Agile,AWS Certified,Korean,Finance
A00297,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Part-Time,Zoom,Agile,AWS Certified,English,Finance
A00300,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Short-Term,Slack,Waterfall,,Korean,Finance
A00302,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,,English,Finance
A00304,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Part-Time,Zoom,Waterfall,,English,Education
A00305,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Freelancer,Slack,Waterfall,AWS Certified,English,Healthcare
A00306,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Short-Term,Slack,Agile,AWS Certified,Korean,Education
A00307,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Education
A00309,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Freelancer,Microsoft Teams,Agile,,English,Education
A00310,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Part-Time,Zoom,Agile,AWS Certified,English,Finance
A00315,14,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Part-Time,Slack,Waterfall,AWS Certified,English,Technology
A00319,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Healthcare
A00321,7,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Full-Time,Zoom,Agile,PMP,English,Education
A00326,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Long-Term,Zoom,Agile,,Korean,Education
A00327,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Mid-Term,Slack,Waterfall,AWS Certified,English,Healthcare
A00328,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Mid-Term,Microsoft Teams,Waterfall,PMP,English,Technology
A00330,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Part-Time,Slack,Waterfall,AWS Certified,English,Healthcare
A00335,14,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Cloud infrastructure,Part-Time,Slack,Waterfall,AWS Certified,English,Finance
A00338,9,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Mobile app,Full-Time,Microsoft Teams,Waterfall,AWS Certified,Korean,Education
A00339,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Cloud infrastructure,Part-Time,Zoom,Agile,AWS Certified,English,Education
A00340,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Full-Time,Microsoft Teams,Agile,,English,Finance
A00341,7,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Open Source Contribution,Short-Term,Slack,Waterfall,AWS Certified,English,Technology
A00342,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Slack,Waterfall,,English,Education
A00344,1,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Short-Term,Slack,Waterfall,AWS Certified,English,Technology
A00348,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Full-Time,Slack,Waterfall,PMP,English,Finance
A00352,7,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Cloud infrastructure,Short-Term,Slack,Waterfall,,English,Finance
A00356,2,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Full-Time,Slack,Agile,,English,Technology
A00360,9,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development - Web Development - Data Engineer,Mobile app,Part-Time,Zoom,Agile,,English,Healthcare
A00361,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Mid-Term,Slack,Waterfall,,English,Healthcare
A00362,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Full-Time,Slack,Agile,PMP,English,Technology
A00367,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Full-Time,Zoom,Agile,AWS Certified,English,Finance
A00368,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Waterfall,,English,Healthcare
A00370,15,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Open Source Contribution,Short-Term,Microsoft Teams,Agile,AWS Certified,English,Technology
A00371,5,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,E-commerce platform,Part-Time,Zoom,Waterfall,,English,Education
A00373,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Mid-Term,Microsoft Teams,Agile,,English,Healthcare
A00376,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Open Source Contribution,Long-Term,Slack,Waterfall,PMP,English,Healthcare
A00377,14,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Long-Term,Microsoft Teams,Agile,PMP,English,Healthcare
A00382,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Full-Time,Slack,Agile,PMP,Korean,Healthcare
A00384,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Short-Term,Zoom,Agile,,English,Education
A00386,11,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Company Project,Part-Time,Microsoft Teams,Waterfall,,Korean,Finance
A00387,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Freelancer,Slack,Agile,,English,Healthcare
A00389,3,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Mobile app,Full-Time,Slack,Agile,AWS Certified,Korean,Finance
A00390,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Part-Time,Zoom,Waterfall,PMP,Korean,Technology
A00391,11,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Finance
A00392,7,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Full-Time,Microsoft Teams,Waterfall,,Korean,Education
A00395,15,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Part-Time,Zoom,Waterfall,PMP,English,Education
A00407,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,AWS Certified,English,Technology
A00408,15,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Mid-Term,Slack,Agile,PMP,English,Healthcare
A00409,12,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Part-Time,Zoom,Waterfall,,English,Education
A00410,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Long-Term,Zoom,Waterfall,,English,Healthcare
A00416,6,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Full-Time,Zoom,Agile,AWS Certified,English,Healthcare
A00423,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Open Source Contribution,Full-Time,Slack,Agile,AWS Certified,English,Healthcare
A00424,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Agile,,English,Education
A00425,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Full-Time,Microsoft Teams,Agile,,English,Healthcare
A00427,1,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Full-Time,Slack,Agile,,English,Technology
A00428,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Freelancer,Slack,Waterfall,PMP,English,Finance
