ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Field,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
TL00043,8.927549493942582,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,DevOps,E-commerce platform,Part-Time,Zoom,Waterfall,AWS Certified,English,Finance
TL00044,13.656645857227911,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,Chinese,Finance
TL00045,3.8223151298805362,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Engineer,Company Project,Part-Time,Slack,Agile,PMP,Chinese,Healthcare
TL00046,8.422650384864125,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Frontend Developer,Cloud infrastructure,Short-Term,Zoom,Waterfall,AWS Certified,Spanish,Education
TL00047,3.323520535032441,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Data Scientist,Cloud infrastructure,Part-Time,Zoom,Waterfall,None,Chinese,Technology
TL00048,12.955971259800705,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,Korean,Healthcare
TL00049,16.343539125890736,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Data Science,Backend Developer,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,Chinese,Healthcare
TL00050,11.398531372902488,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Engineer,Open Source Contribution,Long-Term,Microsoft Teams,Agile,None,Korean,Education
TL00051,15.437947419592637,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Data Engineer,Cloud infrastructure,Full-Time,Slack,Waterfall,None,Chinese,Technology
TL00052,8.247180149229617,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,Open Source Contribution,Part-Time,Slack,Agile,None,Spanish,Technology
TL00053,13.651252300483286,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Backend Developer,Cloud infrastructure,Full-Time,Slack,Agile,PMP,Chinese,Education
TL00054,8.547184193988048,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Data Scientist,Mobile app,Mid-Term,Slack,Waterfall,AWS Certified,Chinese,Education
TL00055,0.8555602015927111,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,DevOps,Company Project,Long-Term,Zoom,Waterfall,AWS Certified,Korean,Healthcare
TL00056,9.74462887293046,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Company Project,Short-Term,Microsoft Teams,Agile,PMP,Korean,Technology
TL00057,1.0626890660046096,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,DevOps,Company Project,Short-Term,Zoom,Agile,None,Chinese,Healthcare
TL00058,24.370950959956595,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,Company Project,Long-Term,Slack,Waterfall,None,Chinese,Education
TL00059,5.684660985546031,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,None,Spanish,Education
TL00060,12.528935830445777,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Data Science,Data Engineer,Mobile app,Mid-Term,Microsoft Teams,Agile,PMP,Spanish,Healthcare
TL00061,7.933229262721049,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Agile,PMP,Spanish,Education
TL00062,-0.6031896648648729,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Backend Developer,Cloud infrastructure,Long-Term,Zoom,Agile,AWS Certified,Chinese,Finance
TL00063,-5.251032766326519,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Mobile app,Mid-Term,Zoom,Waterfall,None,Korean,Finance
TL00064,13.25574830687544,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Backend Developer,E-commerce platform,Long-Term,Microsoft Teams,Agile,None,English,Education
TL00065,18.850184243111396,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Backend Developer,E-commerce platform,Long-Term,Zoom,Agile,AWS Certified,English,Technology
TL00066,2.8835839961998255,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,DevOps,Open Source Contribution,Part-Time,Microsoft Teams,Agile,None,Chinese,Healthcare
TL00067,-3.5605920511038427,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Frontend Developer,Company Project,Short-Term,Microsoft Teams,Waterfall,None,English,Finance
TL00068,5.747051393098519,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,Data Engineer,Mobile app,Mid-Term,Microsoft Teams,Waterfall,PMP,English,Healthcare
TL00069,1.4693757429830407,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,DevOps,Cloud infrastructure,Full-Time,Slack,Agile,None,Chinese,Healthcare
TL00070,3.4741711850541988,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Frontend Developer,E-commerce platform,Part-Time,Microsoft Teams,Waterfall,None,English,Healthcare
TL00071,12.286626867561727,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Data Engineer,Company Project,Freelancer,Slack,Agile,None,Chinese,Finance
TL00072,7.667253815220256,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,Open Source Contribution,Full-Time,Slack,Agile,None,Korean,Finance
TL00073,2.221586275482596,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,Mobile app,Short-Term,Microsoft Teams,Agile,AWS Certified,Korean,Finance
TL00074,12.133731091908643,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Data Scientist,Mobile app,Freelancer,Slack,Agile,None,Chinese,Healthcare
TL00075,12.681563016255232,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Backend Developer,E-commerce platform,Part-Time,Slack,Waterfall,None,Korean,Technology
TL00076,5.663904829913109,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Backend Developer,Mobile app,Full-Time,Microsoft Teams,Waterfall,PMP,Chinese,Finance
TL00077,8.98406239963235,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Open Source Contribution,Mid-Term,Zoom,Agile,AWS Certified,English,Education
TL00078,11.658405979733754,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Data Science,DevOps,Open Source Contribution,Long-Term,Zoom,Waterfall,PMP,Chinese,Healthcare
TL00079,10.998540962404157,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Backend Developer,Open Source Contribution,Full-Time,Zoom,Waterfall,AWS Certified,Chinese,Finance
TL00080,8.303900100424743,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,E-commerce platform,Full-Time,Slack,Agile,None,Spanish,Healthcare
TL00081,18.03404618984569,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Data Scientist,Mobile app,Freelancer,Slack,Waterfall,AWS Certified,English,Finance
TL00082,12.093048385181454,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Frontend Developer,E-commerce platform,Long-Term,Microsoft Teams,Agile,None,Korean,Education
TL00083,4.869668979346645,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Frontend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Waterfall,PMP,Chinese,Education
TL00084,4.911679650889816,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Scientist,Cloud infrastructure,Long-Term,Zoom,Agile,AWS Certified,Chinese,Healthcare
TL00085,4.118871532334549,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,DevOps,Company Project,Part-Time,Slack,Agile,PMP,Chinese,Finance
TL00086,12.43864421452729,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,Company Project,Mid-Term,Microsoft Teams,Agile,None,Spanish,Finance
TL00087,3.6668775237063596,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Data Scientist,Cloud infrastructure,Freelancer,Slack,Waterfall,PMP,Spanish,Healthcare
TL00088,5.0498755159156765,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,Data Engineer,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL00089,15.415775325261356,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Data Scientist,E-commerce platform,Full-Time,Slack,Waterfall,AWS Certified,Spanish,Healthcare
TL00090,9.359543427916838,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Data Scientist,Cloud infrastructure,Freelancer,Zoom,Agile,AWS Certified,Spanish,Finance
TL00091,16.397968301757025,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Frontend Developer,Mobile app,Part-Time,Zoom,Waterfall,PMP,Spanish,Finance
TL00092,13.598588492755393,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Frontend Developer,Mobile app,Long-Term,Zoom,Waterfall,AWS Certified,English,Healthcare
TL00093,-0.2051572151174046,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,Backend Developer,E-commerce platform,Full-Time,Microsoft Teams,Agile,None,English,Technology
TL00094,7.306070729207123,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Engineer,Company Project,Short-Term,Microsoft Teams,Agile,AWS Certified,Spanish,Education
TL00095,14.939929828804434,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Data Scientist,Cloud infrastructure,Part-Time,Slack,Agile,None,Korean,Education
TL00096,-0.5232403768562399,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,DevOps,Mobile app,Short-Term,Slack,Agile,AWS Certified,Chinese,Technology
TL00097,10.95385750984139,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Data Engineer,Mobile app,Part-Time,Slack,Waterfall,AWS Certified,English,Finance
TL00098,7.7457296752026075,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,DevOps,Mobile app,Long-Term,Slack,Agile,None,Korean,Healthcare
TL00099,-4.246303081872567,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Frontend Developer,Open Source Contribution,Freelancer,Slack,Waterfall,None,Chinese,Finance
TL00100,8.856441025955107,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Backend Developer,E-commerce platform,Part-Time,Slack,Waterfall,PMP,English,Technology
TL00101,2.165941183348364,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Frontend Developer,Mobile app,Short-Term,Zoom,Waterfall,PMP,Chinese,Healthcare
TL00102,-0.14210539178953496,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Frontend Developer,Cloud infrastructure,Mid-Term,Microsoft Teams,Waterfall,None,Chinese,Education
TL00103,8.083895041791724,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,DevOps,Cloud infrastructure,Part-Time,Slack,Waterfall,AWS Certified,Korean,Finance
TL00104,-5.477024907258036,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,E-commerce platform,Part-Time,Microsoft Teams,Agile,PMP,Chinese,Finance
TL00105,3.306584136614073,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Backend Developer,Cloud infrastructure,Short-Term,Zoom,Agile,None,English,Healthcare
TL00106,25.85318746279295,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Backend Developer,E-commerce platform,Short-Term,Microsoft Teams,Agile,PMP,English,Finance
TL00107,12.56517672509314,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Scientist,Mobile app,Full-Time,Microsoft Teams,Waterfall,None,English,Healthcare
TL00108,1.8586742612201155,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Mid-Term,Slack,Waterfall,None,Spanish,Healthcare
TL00109,17.835383803797335,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Data Scientist,Cloud infrastructure,Part-Time,Zoom,Agile,None,Korean,Healthcare
TL00110,1.08542907712381,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Data Science,Backend Developer,Company Project,Long-Term,Slack,Waterfall,PMP,Chinese,Education
TL00111,4.149566824603062,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Open Source Contribution,Long-Term,Zoom,Waterfall,AWS Certified,Chinese,Education
TL00112,-0.010687257079757373,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Frontend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,None,Korean,Technology
TL00113,9.810046476527647,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Backend Developer,Cloud infrastructure,Full-Time,Zoom,Waterfall,AWS Certified,Spanish,Technology
TL00114,17.58697826267523,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,DevOps,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,None,English,Education
TL00115,1.0367586928796193,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Scientist,Mobile app,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
TL00116,-6.382884047013821,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Frontend Developer,E-commerce platform,Freelancer,Zoom,Agile,PMP,Chinese,Healthcare
TL00117,15.646062078385778,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Backend Developer,Open Source Contribution,Short-Term,Microsoft Teams,Waterfall,None,Spanish,Education
TL00118,18.881357505664724,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Data Engineer,E-commerce platform,Full-Time,Zoom,Waterfall,AWS Certified,Chinese,Healthcare
TL00119,-5.9259873922874675,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Data Science,Data Engineer,Company Project,Mid-Term,Microsoft Teams,Agile,AWS Certified,Spanish,Finance
TL00120,11.235866303933577,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Mobile app,Full-Time,Slack,Agile,PMP,Chinese,Finance
TL00121,9.603314978048004,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,DevOps,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,None,Chinese,Technology
TL00122,2.515399629951858,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Backend Developer,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,PMP,Korean,Finance
TL00123,-1.7268081488856541,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Company Project,Short-Term,Zoom,Agile,None,Spanish,Healthcare
TL00124,14.952521292611994,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Backend Developer,E-commerce platform,Mid-Term,Zoom,Agile,AWS Certified,English,Healthcare
TL00125,9.271736667303482,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,Company Project,Part-Time,Slack,Waterfall,None,Spanish,Finance
TL00126,9.798488751340324,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,Company Project,Part-Time,Zoom,Agile,AWS Certified,Spanish,Healthcare
TL00127,3.6737153756484053,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,DevOps,Company Project,Long-Term,Microsoft Teams,Agile,AWS Certified,Chinese,Education
TL00128,2.414503959474085,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,Company Project,Full-Time,Slack,Agile,AWS Certified,Spanish,Finance
TL00129,-9.14072641246975,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Engineer,Cloud infrastructure,Freelancer,Zoom,Agile,None,Spanish,Finance
TL00130,6.426041218887354,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Backend Developer,Open Source Contribution,Mid-Term,Zoom,Agile,AWS Certified,English,Education
TL00131,18.077666788557472,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Data Scientist,Company Project,Long-Term,Microsoft Teams,Agile,None,English,Finance
TL00132,1.7969542998744323,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Frontend Developer,Open Source Contribution,Part-Time,Slack,Agile,AWS Certified,Spanish,Healthcare
TL00133,-2.6219648177055337,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Backend Developer,E-commerce platform,Part-Time,Slack,Agile,None,Chinese,Education
TL00134,11.065377193228814,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Cloud infrastructure,Mid-Term,Slack,Waterfall,PMP,Chinese,Education
TL00135,12.354475719709937,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,DevOps,Open Source Contribution,Long-Term,Zoom,Agile,None,Spanish,Education
TL00136,3.9244072265368075,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,Data Scientist,Open Source Contribution,Full-Time,Zoom,Waterfall,AWS Certified,English,Finance
TL00137,5.582070849042134,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Data Engineer,Company Project,Part-Time,Zoom,Waterfall,AWS Certified,Spanish,Education
TL00138,9.864732384219081,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Waterfall,AWS Certified,Chinese,Finance
TL00139,6.932679982136291,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Full-Time,Microsoft Teams,Agile,AWS Certified,Spanish,Healthcare
TL00140,15.011092009510172,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,Frontend Developer,Open Source Contribution,Part-Time,Slack,Waterfall,PMP,Korean,Education
TL00141,25.056783632525264,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,E-commerce platform,Long-Term,Zoom,Waterfall,None,English,Technology
TL00142,-3.927374450955279,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Frontend Developer,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,Chinese,Finance
